created_date,job_title,company,salary,address,time,link_description
12-11-2025,Viettel Thành phố Hồ Chí Minh - Nhân viên Giải pháp Công nghệ thông tin,Viettel Thành Phố Hồ Chí Minh - Chi Nhánh Tập Đoàn Viễn Thông Quân Đội,From 18.000.000 VND,Hồ Chí Minh,28-12-2025,https://topdev.vn/detail-jobs/viettel-thanh-pho-ho-chi-minh-nhan-vien-giai-phap-cong-nghe-thong-tin-viettel-thanh-pho-ho-chi-minh-chi-nhanh-tap-doan-vien-thong-quan-doi-2071971?src=topdev_home&medium=superhotjobs
12-11-2025,"[Junior, Senior] BackEnd Engineer (Java, Spring Boot) - Khối Công nghệ thông tin (HOLT.03)",Viettel Thành Phố Hồ Chí Minh - Chi Nhánh Tập Đoàn Viễn Thông Quân Đội,From 18.000.000 VND,Hồ Chí Minh,13-12-2025,https://topdev.vn/detail-jobs/junior-senior-backend-engineer-java-spring-boot-khoi-cong-nghe-thong-tin-holt-03-mbbank-2066611?src=topdev_home&medium=superhotjobs
12-11-2025,Chuyên Viên Cao Cấp Bảo Mật Dữ Liệu - Khối Dữ liệu - Senior Data Security - Data Division - Khối Dữ liệu (HO25.456),Viettel Thành Phố Hồ Chí Minh - Chi Nhánh Tập Đoàn Viễn Thông Quân Đội,From 18.000.000 VND,Hồ Chí Minh,13-12-2025,https://topdev.vn/detail-jobs/chuyen-vien-cao-cap-bao-mat-du-lieu-khoi-du-lieu-senior-data-security-data-division-khoi-du-lieu-ho25-456-mbbank-2066636?src=topdev_home&medium=superhotjobs
12-11-2025,Chuyên Viên Quản Lý Dự Án - Project Manager (PM) - Khối Dữ Liệu (HO25.426),Viettel Thành Phố Hồ Chí Minh - Chi Nhánh Tập Đoàn Viễn Thông Quân Đội,From 18.000.000 VND,Hồ Chí Minh,13-12-2025,https://topdev.vn/detail-jobs/chuyen-vien-quan-ly-du-an-project-manager-pm-khoi-du-lieu-ho25-426-mbbank-2066640?src=topdev_home&medium=superhotjobs
12-11-2025,Chuyên Viên Đảm Bảo Chất Lượng Dịch Vụ Công Nghệ Thông Tin - Quality Assurance - Khối Công Nghệ Thông Tin (HO25.419),Viettel Thành Phố Hồ Chí Minh - Chi Nhánh Tập Đoàn Viễn Thông Quân Đội,From 18.000.000 VND,Hồ Chí Minh,13-12-2025,https://topdev.vn/detail-jobs/chuyen-vien-dam-bao-chat-luong-dich-vu-cong-nghe-thong-tin-quality-assurance-khoi-cong-nghe-thong-tin-ho25-419-mbbank-2066651?src=topdev_home&medium=superhotjobs
12-11-2025,Junior IT Engineer (ERP/PowerAutomate),Viettel Thành Phố Hồ Chí Minh - Chi Nhánh Tập Đoàn Viễn Thông Quân Đội,From 18.000.000 VND,Hồ Chí Minh,18-12-2025,https://topdev.vn/detail-jobs/junior-it-engineer-erp-powerautomate-cong-ty-co-phan-xay-dung-va-cong-nghiep-nsn-2067839?src=topdev_home&medium=superhotjobs
12-11-2025,Chuyên gia/Chuyên viên cao cấp Phân tích nghiệp vụ (BA),Viettel Thành Phố Hồ Chí Minh - Chi Nhánh Tập Đoàn Viễn Thông Quân Đội,From 18.000.000 VND,Hồ Chí Minh,18-12-2025,https://topdev.vn/detail-jobs/chuyen-gia-chuyen-vien-cao-cap-phan-tich-nghiep-vu-ba-ngan-hang-tmcp-an-binh-abbank-2067909?src=topdev_home&medium=superhotjobs
12-11-2025,MCU Software Development,Viettel Thành Phố Hồ Chí Minh - Chi Nhánh Tập Đoàn Viễn Thông Quân Đội,From 18.000.000 VND,Hồ Chí Minh,18-12-2025,https://topdev.vn/detail-jobs/mcu-software-development-litetrace-vietnam-co-ltd-2067962?src=topdev_home&medium=superhotjobs
12-11-2025,Kỹ sư cơ điện (Điều hòa - Thông gió/ Điện – Điện nhẹ/ Cấp thoát nước – Cứu hỏa),Viettel Thành Phố Hồ Chí Minh - Chi Nhánh Tập Đoàn Viễn Thông Quân Đội,From 18.000.000 VND,Hồ Chí Minh,19-12-2025,https://topdev.vn/detail-jobs/ky-su-co-dien-dieu-hoa-thong-gio-dien-dien-nhe-cap-thoat-nuoc-cuu-hoa-sigma-engineering-jsc-2068514?src=topdev_home&medium=superhotjobs
12-11-2025,Project Leader/ BrSE (Japanese N2+),Viettel Thành Phố Hồ Chí Minh - Chi Nhánh Tập Đoàn Viễn Thông Quân Đội,From 18.000.000 VND,Hồ Chí Minh,20-12-2025,https://topdev.vn/detail-jobs/project-leader-brse-japanese-n2-nec-vietnam-2069095?src=topdev_home&medium=superhotjobs
